add-c,4,1000,8000,825113,103,0
add-yield-c,4,1000,8000,6190341,773,0
add-none,8,1000,16000,385369,24,-1290
add-yield-none,8,1000,16000,2031058,126,130
add-m,8,1000,16000,3494360,218,0
add-yield-m,8,1000,16000,24634015,1539,0
add-s,8,1000,16000,11415615,713,0
add-yield-s,8,1000,16000,21821658,1363,0
add-c,8,1000,16000,1850932,115,0
add-yield-c,8,1000,16000,12720315,795,0
add-none,12,1000,24000,824392,34,0
add-yield-none,12,1000,24000,8689815,362,72
add-m,12,1000,24000,10466602,436,0
add-yield-m,12,1000,24000,42715980,1779,0
add-s,12,1000,24000,23137582,964,0
add-yield-s,12,1000,24000,51215055,2133,0
add-c,12,1000,24000,5229238,217,0
add-yield-c,12,1000,24000,39657931,1652,0
add-none,1,10000,20000,301923,15,0
add-yield-none,1,10000,20000,12856327,642,0
add-m,1,10000,20000,809470,40,0
add-yield-m,1,10000,20000,12858545,642,0
add-s,1,10000,20000,415130,20,0
add-yield-s,1,10000,20000,12828068,641,0
add-c,1,10000,20000,554131,27,0
add-yield-c,1,10000,20000,13384661,669,0
add-none,2,10000,40000,536623,13,1056
add-yield-none,2,10000,40000,15472213,386,-36
add-m,2,10000,40000,4347155,108,0
add-yield-m,2,10000,40000,44324702,1108,0
add-s,2,10000,40000,12473088,311,0
add-yield-s,2,10000,40000,38429000,960,0
add-c,2,10000,40000,2527371,63,0
add-yield-c,2,10000,40000,28129014,703,0
add-none,4,10000,80000,1218258,15,-133
add-yield-none,4,10000,80000,15638928,195,37
add-m,4,10000,80000,15462526,193,0
add-yield-m,4,10000,80000,110962329,1387,0
add-s,4,10000,80000,33941045,424,0
add-yield-s,4,10000,80000,85744070,1071,0
add-c,4,10000,80000,7259679,90,0
add-yield-c,4,10000,80000,61108030,763,0
add-none,8,10000,160000,2387958,14,-593
add-yield-none,8,10000,160000,18298633,114,185
add-m,8,10000,160000,31454230,196,0
add-yield-m,8,10000,160000,248666582,1554,0
add-s,8,10000,160000,85800334,536,0
add-yield-s,8,10000,160000,200600214,1253,0
add-c,8,10000,160000,24466514,152,0
add-yield-c,8,10000,160000,132182928,826,0
add-none,12,10000,240000,3785399,15,-9841
add-yield-none,12,10000,240000,49138324,204,204
add-m,12,10000,240000,48174615,200,0
add-yield-m,12,10000,240000,387815035,1615,0
add-s,12,10000,240000,238423674,993,0
add-yield-s,12,10000,240000,404923345,1687,0
